                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95963,                 3.7047,                 1.3122,                0.00789,                0.93203,                0.22319,                0.17443,                0.65504,                 4.1374,                 1.1493,              0.0001818,              0.0001818,              0.0001818
                      1,                0.97595,                 3.2135,                 1.3131,                0.00635,                0.95227,                0.25344,                0.19102,                0.78592,                 3.7089,                 1.2823,              0.0002497,              0.0002497,              0.0002497
                      2,                0.94004,                  2.833,                 1.2798,                0.33792,                0.24579,                0.30809,                0.23903,                0.78661,                 3.4142,                 1.2393,             0.00019162,             0.00019162,             0.00019162
